,School_ID,Student_ID,SES,SES.cat,Math.Self.Eff,Grade.Repeated,Gender,Edu.Exp,Immg,Family.support,Feel.Safe,Math.Anxiety,GRADE,Math.Score,Reading.Score,Science.Score
14,84000109,84000023,0.9744,High SES,0.6427,0,Male,8,Native,0.4491,-0.756,-0.7358,0,597.0037778,636.0467778,671.6461111
15,84000033,84000025,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,0,542.5505556,603.8302222,610.4196667
16,84000076,84000026,-0.0577,Mid SES,NA,0,Female,NA,Native,NA,-1.1042,NA,0,446.1552222,590.3238889,537.9278889
17,84000077,84000027,0.7194,Mid SES,-0.5344,0,Female,8,Native,1.6009,-0.756,0.8757,0,484.9322222,558.1775556,531.872
18,84000034,84000029,-0.7053,Low SES,-1.3631,0,Female,8,Native,-0.0272,-0.756,0.7774,1,386.7004444,495.991,413.2598889
19,84000107,84000031,0.5333,Mid SES,-1.845,0,Female,7,Native,-0.5174,-0.756,1.9128,1,518.5246667,628.5757778,558.013
20,84000064,84000034,0.4709,Mid SES,-0.3227,0,Female,8,Native,-0.1762,-0.756,0.3378,0,540.3357778,617.8437778,628.4386667
21,84000161,84000036,-1.7164,Low SES,-2.1747,0,Female,4,NA,-0.6946,-0.756,0.6387,1,295.0491111,314.9706667,278.6541111
22,84000078,84000037,-0.3988,Mid SES,-0.2844,0,Female,8,Native,1.4365,-1.15,-0.2927,0,388.0512222,400.0611111,441.5538889
23,84000160,84000038,0.5608,Mid SES,9.00E-04,0,Male,7,Native,-0.6769,-0.756,0.4067,0,579.6226667,616.4338889,621.5396667
24,84000073,84000039,0.6507,Mid SES,-0.6254,0,Female,7,Native,1.6382,-0.756,-1.2756,0,454.5174444,601.934,488.2935556
25,84000001,84000041,-0.1407,Mid SES,0.8233,0,Female,7,Native,-0.3542,-0.1051,0.8251,0,536.6037778,556.8923333,570.5132222
26,84000004,84000043,-0.271,Mid SES,-0.2998,0,Female,4,1st Gen,0.1757,-0.756,-0.508,0,552.8234444,598.3818889,549.1421111
27,84000092,84000044,0.8198,High SES,NA,0,Male,NA,Native,NA,NA,1.2595,0,486.215,478.6348889,494.4537778
28,84000088,84000045,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,0,349.6125556,342.937,359.3291111
29,84000107,84000048,-1.5856,Low SES,-0.1635,0,Male,4,2nd Gen,-0.0078,-0.756,-0.0394,0,474.6961111,538.9166667,522.0741111
30,84000057,84000052,0.0164,Mid SES,0.1429,0,Male,7,Native,-0.5865,0.0877,1.1606,0,567.8805556,588.1094444,670.2301111
31,84000060,84000054,1.3734,High SES,1.9578,0,Female,7,Native,0.0884,0.0877,-1.6654,0,651.069,707.8306667,699.1541111
32,84000140,84000055,0.51,Mid SES,0.7608,0,Male,4,Native,0.9785,0.4417,-0.3744,0,653.2214444,667.2933333,745.8591111
33,84000006,84000056,1.2095,High SES,-0.9128,0,Male,8,Native,1.7442,0.4417,-0.3744,0,425.1118889,403.9194444,421.7772222
34,84000121,84000057,0.644,Mid SES,0.4149,0,Male,2,Native,-1.5495,-2.7886,-0.1172,0,555.907,629.5375556,587.5665556
35,84000049,84000058,0.5728,Mid SES,-0.3934,0,Female,9,Native,1.8563,-1.15,-1.0075,0,405.8184444,411.6313333,468.407
36,84000093,84000060,0.0308,Mid SES,-0.0695,1,Female,9,Native,1.8661,-0.756,-0.1172,-1,356.6564444,394.4121111,383.6872222
37,84000127,84000061,1.6588,High SES,-0.6495,0,Female,7,2nd Gen,-0.7428,-0.756,0.429,0,377.0876667,451.4686667,393.693
38,84000024,84000063,-1.9211,Low SES,-0.8623,0,Male,7,2nd Gen,-0.2844,-0.756,1.9397,0,487.8062222,618.0916667,589.43
39,84000025,84000064,1.0914,High SES,-0.3934,0,Male,7,Native,0.1628,1.1246,-2.3945,-1,509.9174444,522.7487778,566.0853333
40,84000131,84000071,0.6094,Mid SES,-0.7051,0,Female,7,2nd Gen,-1.0043,-0.756,1.8028,1,549.8042222,639.5224444,560.8865556
41,84000110,84000072,-0.636,Low SES,-1.0801,1,Female,8,Native,1.5941,1.1246,-2.3558,-1,338.5683333,471.9861111,368.3127778
42,84000031,84000073,-3.3724,Low SES,-3.4581,0,Male,9,2nd Gen,-0.0066,1.1246,2.6109,0,252.3553333,269.2393333,326.4137778
43,84000151,84000074,-0.118,Mid SES,-1.8342,0,Female,7,Native,1.6479,1.1246,-0.4577,0,525.0161111,468.0327778,536.6101111
44,84000083,84000075,0.701,Mid SES,-0.1635,0,Male,4,Native,-1.2078,-0.756,0.5653,0,499.3402222,486.6194444,484.3608889
45,84000107,84000077,0.7257,Mid SES,-0.5945,0,Male,7,2nd Gen,-0.5481,-0.756,0.3025,0,511.4796667,583.7987778,563.4745556
46,84000075,84000078,-0.3722,Mid SES,-1.008,0,Female,9,Native,-0.3717,1.1246,0.4067,1,461.1445556,504.5148889,473.4745556
47,84000090,84000079,0.5531,Mid SES,0.6947,0,Female,7,Native,0.1043,-0.756,0.1031,0,488.7931111,647.3087778,627.6776667
48,84000125,84000080,0.8516,High SES,0.9211,0,Female,9,Native,-0.095,0.4417,0.7774,1,452.2766667,499.7606667,453.2608889
49,84000046,84000081,0.4021,Mid SES,-2.6345,0,Female,8,Native,-1.2741,0.4417,1.8003,0,379.6671111,518.7865556,477.9154444
50,84000089,84000082,-1.232,Low SES,-0.8084,0,Female,NA,NA,-0.0518,-1.5644,-0.0575,-1,292.5763333,406.3295556,310.8855556
51,84000092,84000085,1.5587,High SES,-0.2313,0,Male,8,Native,0.9054,1.1246,-0.0575,0,428.0918889,464.7677778,426.5814444
52,84000030,84000086,1.0935,High SES,-0.5383,0,Female,8,Native,0.4992,1.1246,0.1932,0,494.2993333,571.4496667,512.9477778
53,84000070,84000087,-0.0654,Mid SES,-1.3764,0,Male,8,Native,0.2109,-0.756,1.1287,0,383.2937778,443.0561111,443.1252222
54,84000111,84000090,0.8237,High SES,1.9578,0,Female,9,2nd Gen,-1.586,1.1246,2.5429,0,548.565,652.3125556,644.7348889
55,84000025,84000091,1.3798,High SES,1.0788,0,Female,8,Native,-0.1133,1.1246,-2.3868,0,670.5452222,700.1588889,704.2221111
56,84000056,84000092,-0.4782,Mid SES,-0.9354,0,Male,8,Native,0.5815,-0.756,0.7774,0,398.4331111,512.8402222,502.3492222
57,84000151,84000093,0.456,Mid SES,0.7533,0,Female,9,Native,-0.5049,1.1246,-0.3794,0,454.7274444,488.7742222,430.8911111
58,84000081,84000094,-2.7722,Low SES,-0.4901,0,Male,7,2nd Gen,0.0408,0.4417,-0.3794,0,557.6271111,599.9133333,648.1873333
59,84000035,84000096,1.2964,High SES,0.3003,0,Female,2,Native,1.7681,-0.756,-0.0423,0,394.9991111,345.8783333,377.5773333
60,84000094,84000099,-0.318,Mid SES,-1.2888,0,Female,4,Native,0.3613,-0.756,-0.0575,0,464.4245556,546.2251111,455.0664444
61,84000082,84000100,-0.9364,Low SES,-0.1612,0,Male,8,2nd Gen,-0.0342,-0.756,-0.2885,0,508.6513333,546.641,538.9451111
62,84000097,84000101,0.0809,Mid SES,-0.4835,0,Male,4,Native,-1.2065,0.6942,0.5653,0,425.3612222,439.5566667,418.5343333
63,84000043,84000103,-0.0581,Mid SES,-0.9382,0,Female,8,2nd Gen,1.7504,-0.756,0.6387,0,387.775,537.2186667,480.4412222
64,84000090,84000104,-0.2697,Mid SES,-3.4762,1,Male,5,Native,-1.4886,1.1246,-0.1371,0,279.8421111,296.0694444,321.2848889
65,84000124,84000105,0.6021,Mid SES,-0.882,0,Female,5,Native,1.0254,0.4417,1.8028,0,471.8788889,560.5835556,568.2607778
66,84000139,84000109,-1.2829,Low SES,0.5119,0,Male,5,2nd Gen,-0.9355,-0.1683,-2.249,0,605.6431111,599.3762222,710.3594444
67,84000003,84000110,-1.0376,Low SES,-1.1029,0,Male,4,2nd Gen,-0.2666,-0.756,1.0508,0,229.3524444,273.3137778,261.2315556
68,84000095,84000112,-1.2472,Low SES,-0.4105,0,Female,4,Native,-0.3594,-0.756,1.1417,0,404.9514444,441.2148889,462.7815556
69,84000036,84000115,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,-1,399.5492222,387.6466667,391.9067778
70,84000094,84000116,0.5679,Mid SES,-0.1487,1,Male,8,Native,-0.3138,1.1246,0.7774,-1,340.2221111,405.0801111,387.2996667
71,84000102,84000117,1.2099,High SES,-1.5811,0,Female,7,Native,-0.0238,-1.2684,0.8757,0,484.7748889,576.043,495.2396667
72,84000132,84000119,1.5487,High SES,NA,0,Male,NA,Native,NA,NA,0.602,0,456.799,470.4851111,471.2347778
73,84000037,84000120,-0.296,Mid SES,NA,0,Female,9,2nd Gen,0.0614,0.1368,-0.2704,2,442.1216667,497.4162222,504.7678889
74,84000023,84000122,0.8209,High SES,-0.175,0,Male,7,2nd Gen,0.4782,1.1246,-1.2756,0,514.1801111,491.7695556,560.8042222
75,84000101,84000124,2.0988,High SES,0.1499,0,Female,8,Native,0.5801,-1.3019,1.2595,0,503.6724444,552.7544444,570.2961111
76,84000003,84000125,-3.328,Low SES,-1.9528,0,Female,5,NA,-1.1663,-0.756,0.133,0,389.0303333,416.1825556,386.0444444
77,84000092,84000126,0.9739,High SES,-0.5155,0,Male,5,Native,1.6898,-0.756,-0.0394,0,502.6695556,510.2767778,553.0212222
78,84000081,84000127,-0.5368,Low SES,0.4053,0,Female,8,Native,-0.633,0.4417,0.6387,0,662.1275556,729.5133333,721.6973333
79,84000078,84000130,-0.9462,Low SES,-0.6962,0,Female,9,Native,1.863,-0.756,0.4067,-1,369.2743333,395.9185556,371.2934444
80,84000006,84000131,-0.7447,Low SES,0.0445,0,Male,8,Native,-0.9448,-1.1042,-0.1371,0,426.9196667,491.5857778,440.4815556
81,84000122,84000132,NA,NA,NA,NA,Male,NA,NA,NA,-0.756,NA,0,365.0588889,354.3051111,392.4728889
82,84000101,84000133,-0.7517,Low SES,-0.4893,0,Female,8,Native,-0.0483,-0.756,-0.8811,0,511.7372222,592.1542222,548.3332222
83,84000084,84000134,-0.8336,Low SES,-0.7626,0,Male,5,2nd Gen,-0.6576,-1.3449,-0.4577,0,412.4176667,420.409,419.8604444
84,84000040,84000138,0.5329,Mid SES,-1.1283,0,Female,9,1st Gen,0.2077,0.1798,0.3025,1,502.6795556,622.0738889,564.462
85,84000086,84000140,-0.944,Low SES,-3.3947,0,Male,4,2nd Gen,-1.3327,-0.039,-1.5486,0,350.421,392.6554444,430.3168889
86,84000109,84000143,1.0103,High SES,-0.4089,0,Male,7,Native,-0.4134,0.4417,-0.2704,0,565.5683333,550.7454444,609.0446667
87,84000060,84000144,0.7841,High SES,-1.5562,0,Female,4,Native,-0.1945,-0.756,0.429,1,519.4504444,558.149,505.9257778
88,84000086,84000146,-1.1681,Low SES,-0.209,0,Female,8,2nd Gen,0.5181,-0.756,-2.3755,0,392.7745556,453.4737778,473.9234444
89,84000040,84000147,0.159,Mid SES,1.4175,0,Male,8,2nd Gen,-0.4298,-0.756,0.429,1,519.0585556,537.2723333,514.7494444
90,84000100,84000148,-1.6064,Low SES,NA,NA,Female,NA,Native,-0.2035,0.8637,NA,0,306.4828889,295.17,306.0805556
91,84000002,84000149,-0.8628,Low SES,-0.853,0,Female,5,NA,1.6645,-0.756,0.1031,0,424.0426667,477.9551111,414.7316667
92,84000033,84000150,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,0,472.3336667,504.5505556,524.0365556
93,84000100,84000151,-1.1307,Low SES,-0.4345,0,Male,8,Native,-0.0375,-0.756,0.3025,0,318.7564444,329.9096667,307.304
94,84000052,84000155,0.8268,High SES,-0.1087,0,Female,7,Native,0.8056,0.4417,1.5706,0,475.5728889,501.9087778,491.1418889
95,84000004,84000163,0.5756,Mid SES,-3.4724,0,Male,7,1st Gen,0.4772,-1.3019,2.5429,0,378.4708889,415.3522222,435.5754444
96,84000107,84000166,0.0566,Mid SES,-1.8093,0,Female,7,1st Gen,-1.0471,-0.756,2.5026,0,323.5512222,395.4648889,397.3774444
97,84000074,84000167,-0.8535,Low SES,-0.8772,0,Female,8,Native,-0.6538,-0.756,-0.2704,0,316.2918889,295.7934444,302.779
98,84000006,84000168,-0.5379,Low SES,-0.1635,0,Female,8,Native,1.6765,-0.756,0.4067,0,446.0025556,484.1976667,448.3757778
99,84000100,84000171,-1.0962,Low SES,-1.3917,1,Female,4,Native,0.8458,-0.756,0.6647,-1,293.1033333,295.226,335.0351111
100,84000032,84000176,1.1126,High SES,-0.1245,0,Male,8,Native,1.735,0.4417,-0.2045,0,490.4963333,540.4671111,518.895
101,84000065,84000181,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,0,530.6378889,516.959,519.6303333
102,84000094,84000182,0.2765,Mid SES,-0.1511,0,Female,9,Native,0.0314,1.1246,-0.5191,0,349.097,366.5468889,370.4725556
103,84000142,84000184,-1.6814,Low SES,-1.1203,0,Female,8,Native,-1.246,-1.1042,NA,0,414.3944444,523.4436667,487.8333333
104,84000143,84000186,0.2959,Mid SES,2.0602,0,Male,7,Native,1.779,1.1246,-2.249,0,350.5421111,409.1988889,385.4398889
105,84000143,84000187,0.5868,Mid SES,-1.1943,0,Female,8,Native,-0.7572,-0.756,-0.0423,0,325.7324444,368.9464444,365.2781111
106,84000072,84000188,-2.7128,Low SES,-1.5506,0,Male,4,2nd Gen,0.8435,0.1413,1.0112,1,525.4258889,551.4784444,541.3912222
107,84000003,84000190,-1.1196,Low SES,-0.1612,0,Female,6,2nd Gen,-1.5837,0.6942,-2.3755,0,482.3835556,547.1028889,516.1941111
108,84000130,84000192,0.8181,High SES,-0.5884,0,Female,9,Native,-0.5917,-0.756,-0.3744,0,460.8088889,524.3094444,498.6461111
109,84000019,84000194,-0.9436,Low SES,NA,0,Female,NA,Native,NA,NA,2.5026,0,370.0626667,406.6147778,385.6492222
110,84000016,84000195,-0.0177,Mid SES,-1.3122,0,Female,7,Native,-0.4068,-0.756,0.3025,1,510.8607778,609.8472222,570.8315556
111,84000059,84000196,0.6594,Mid SES,-0.5155,0,Female,4,Native,-2.2596,-1.3019,0.8757,0,506.8092222,528.462,553.1107778
112,84000069,84000201,-0.3175,Mid SES,-0.9342,0,Female,9,Native,-0.9057,-0.039,2.5078,0,422.3411111,514.1417778,535.3416667
113,84000120,84000203,-0.0046,Mid SES,-0.2453,0,Male,8,Native,1.3432,1.1246,-0.3794,0,531.5228889,526.6843333,555.9155556
114,84000089,84000206,-0.8296,Low SES,0.4217,0,Female,4,1st Gen,0.0262,-1.1042,-2.249,0,584.8907778,669.3942222,643.0996667
115,84000134,84000208,0.9357,High SES,-0.7243,0,Male,4,Native,-1.1529,1.1246,0.1031,1,511.7016667,589.3456667,595.958
116,84000062,84000209,-0.3423,Mid SES,NA,0,Male,9,Native,NA,1.1246,NA,0,258.9674444,271.4657778,238.6341111
117,84000036,84000210,0.7239,Mid SES,-0.8238,0,Male,7,Native,-1.0883,-0.756,0.1031,0,513.0755556,544.4368889,613.1001111
118,84000083,84000211,0.3489,Mid SES,2.13,0,Male,6,Native,1.7256,1.1246,-2.3868,0,437.2794444,445.545,468.0828889
119,84000129,84000213,1.2515,High SES,-0.6106,0,Male,8,Native,-0.0068,-0.756,-0.3794,0,622.5897778,625.7968889,680.208
120,84000019,84000215,-1.8906,Low SES,NA,0,Female,NA,Native,NA,NA,0.4252,0,317.1453333,344.27,312.7035556
121,84000085,84000216,0.0914,Mid SES,-0.9109,0,Female,9,Native,0.212,0.4417,0.6647,0,418.1221111,467.2932222,386.3305556
122,84000108,84000218,-1.1413,Low SES,-1.037,0,Female,4,Native,-0.342,0.4417,0.1932,0,481.524,549.199,449.9715556
123,84000109,84000219,-0.1977,Mid SES,-0.2675,0,Female,9,2nd Gen,-1.572,0.1413,0.5653,1,507.4868889,605.7618889,559.7572222
124,84000051,84000220,-1.012,Low SES,NA,1,Male,NA,Native,NA,NA,-0.3744,0,301.87,298.4912222,304.639
125,84000057,84000221,0.1464,Mid SES,-0.3124,0,Male,5,1st Gen,-0.5318,-1.1042,0.1748,0,368.397,350.515,342.7836667
126,84000105,84000223,1.6478,High SES,2.1178,0,Male,7,1st Gen,0.7162,1.1246,-1.299,0,570.3363333,551.3261111,545.5062222
127,84000077,84000224,1.1824,High SES,NA,0,Male,NA,2nd Gen,NA,-0.756,NA,0,514.4493333,536.0584444,554.8992222
128,84000125,84000228,-0.1466,Mid SES,-0.1531,0,Female,NA,Native,-0.0554,-0.756,0.3729,0,328.5263333,355.9755556,373.3836667
129,84000001,84000231,1.2238,High SES,-0.4701,1,Male,4,Native,-0.4769,1.1246,-0.1172,0,473.3898889,489.2724444,583.4585556
130,84000110,84000233,-1.0117,Low SES,-1.2486,0,Female,6,Native,-1.4653,-0.756,1.9397,0,494.1392222,602.3764444,558.2912222
131,84000117,84000235,1.2582,High SES,-0.9019,0,Male,NA,Native,-0.6673,0.4417,-0.4577,0,487.7321111,592.9236667,603.2534444
132,84000025,84000237,1.8545,High SES,-0.0961,0,Female,8,Native,-0.3543,-0.756,0.905,1,610.3825556,650.8523333,612.2868889
133,84000061,84000239,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,0,451.4968889,529.0996667,517.2672222
134,84000001,84000240,0.3835,Mid SES,-0.2344,0,Male,6,Native,0.2211,0.4417,-1.2286,0,614.2624444,616.2008889,668.3476667
135,84000090,84000243,1.3376,High SES,-1.0657,0,Male,8,Native,0.0522,-0.756,-0.4577,0,496.818,484.9761111,509.841
136,84000020,84000246,0.846,High SES,0.8624,0,Male,9,Native,1.7802,1.1246,-2.249,0,597.382,573.131,599.6033333
137,84000019,84000252,-1.6913,Low SES,NA,0,Male,NA,2nd Gen,NA,NA,NA,1,320.7958889,311.2164444,324.5412222
138,84000162,84000253,0.6467,Mid SES,-0.2678,0,Female,7,Native,0.787,-0.756,0.1748,0,537.6846667,592.7496667,618.578
139,84000127,84000254,0.7834,High SES,-3.3701,0,Female,7,Native,-0.7495,-0.756,2.6149,0,470.8205556,542.9165556,527.9781111
140,84000032,84000255,-1.4923,Low SES,-3.4089,1,Male,5,Native,1.3432,0.4417,2.6149,0,352.9971111,269.2952222,367.8795556
141,84000007,84000256,-0.0645,Mid SES,-0.8304,0,Female,2,Native,1.6908,-0.756,0.8251,0,344.9005556,403.3596667,342.6226667
142,84000124,84000258,-1.2342,Low SES,NA,1,Male,NA,Native,NA,NA,0.1932,0,426.2997778,468.5952222,451.2415556
143,84000142,84000260,-0.2727,Mid SES,2.286,0,Male,7,Native,1.5146,1.1246,-2.3558,0,369.0691111,318.585,367.5305556
144,84000062,84000261,-0.6339,Low SES,-0.149,0,Female,7,Native,-0.6675,0.4417,0.7774,0,366.8076667,444.5315556,423.7093333
145,84000092,84000262,-0.7764,Low SES,0.0258,0,Male,8,2nd Gen,0.1065,0.1413,1.1606,0,483.7135556,586.9756667,525.2503333
146,84000069,84000264,0.8382,High SES,0.2905,0,Male,9,Native,1.5707,-0.756,0.1031,0,474.8701111,520.5102222,500.7201111
147,84000001,84000265,-0.1675,Mid SES,-0.9093,0,Female,7,Native,1.4745,-1.306,0.1932,1,478.8687778,522.4827778,497.6411111
148,84000110,84000266,0.5896,Mid SES,-1.3987,0,Female,8,Native,1.4425,-0.756,2.5429,0,381.4123333,418.5878889,434.8323333
149,84000090,84000267,-1.1726,Low SES,-0.9664,0,Male,7,Native,-0.144,-0.756,0.6566,0,388.827,408.0842222,446.6252222
150,84000051,84000268,0.9605,High SES,-0.8801,0,Female,9,Native,0.0714,-0.756,1.2587,0,433.2692222,444.8663333,483.0961111
151,84000002,84000271,-0.4387,Mid SES,-0.4966,0,Male,7,Native,1.212,0.6942,-1.6741,0,593.3666667,614.0534444,615.6368889
152,84000088,84000273,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,0,572.79,624.4793333,605.1803333
153,84000031,84000279,0.2632,Mid SES,-2.2126,0,Female,9,2nd Gen,-0.4831,-2.0245,1.8003,0,403.5116667,535.1903333,440.9942222
154,84000090,84000280,0.0441,Mid SES,2.131,0,Male,4,NA,-1.1009,-0.756,-2.382,0,606.3894444,570.0801111,652.4432222
155,84000005,84000281,1.2789,High SES,NA,0,Female,NA,Native,NA,NA,2.5078,0,485.0833333,502.0781111,469.473
156,84000008,84000282,-0.3576,Mid SES,-0.1213,1,Male,2,Native,1.5928,0.0936,0.8251,0,399.1133333,435.7625556,500.7757778
157,84000046,84000284,-0.8608,Low SES,-0.5826,0,Female,7,Native,-0.5802,-0.756,0.1932,0,490.8355556,598.3925556,549.2124444
158,84000090,84000287,-1.2738,Low SES,-0.6962,0,Male,4,2nd Gen,-0.516,-0.756,-0.0394,0,504.6904444,459.2496667,483.8531111
159,84000037,84000290,0.37,Mid SES,2.2939,0,Male,8,Native,1.5201,1.1246,1.1606,1,579.7257778,565.0377778,606.9943333
160,84000116,84000291,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,1,407.6217778,446.7324444,443.4034444
161,84000013,84000292,-0.0183,Mid SES,-0.1531,0,Male,7,Native,-0.6246,1.1246,-2.3558,1,568.6437778,623.2848889,635.1687778
162,84000078,84000294,-2.0895,Low SES,-1.5246,0,Male,4,2nd Gen,0.2705,1.1246,0.8251,0,358.879,496.6834444,442.8732222
163,84000065,84000295,0.3922,Mid SES,0.2626,0,Male,9,Native,0.9416,1.1246,0.3729,0,659.5618889,713.2398889,708.7831111
164,84000078,84000296,-1.7481,Low SES,-1.2882,0,Female,4,NA,1.685,-0.756,0.3729,0,339.6456667,412.8032222,444.2225556
165,84000160,84000298,1.0124,High SES,-3.3397,0,Male,4,Native,-0.5512,-1.3019,0.5653,0,469.5895556,512.8395556,512.9186667
166,84000099,84000300,-0.7849,Low SES,-1.1051,1,Male,4,Native,-0.1778,0.4417,-0.5191,-1,261.3581111,284.5711111,281.7912222
167,84000157,84000302,-0.4096,Mid SES,-0.5366,0,Male,7,NA,1.6545,-0.756,-0.5006,0,364.4163333,391.1781111,392.8772222
168,84000046,84000305,1.8364,High SES,-0.7626,0,Female,9,Native,-0.2488,-0.039,0.7889,0,388.9676667,481.1828889,418.6988889
169,84000121,84000306,-0.1179,Mid SES,-0.9062,0,Female,5,Native,-0.5387,0.4417,2.5429,0,490.2805556,570.0095556,474.3315556
170,84000161,84000308,-1.3469,Low SES,0.7395,0,Female,9,2nd Gen,-0.8039,-0.756,-0.4577,1,518.1492222,443.532,433.8366667
171,84000050,84000309,-2.835,Low SES,-1.2882,0,Female,9,2nd Gen,0.6416,-1.1042,0.6387,0,368.1641111,423.997,420.623
172,84000117,84000310,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,0,484.6298889,571.1647778,532.1292222
173,84000095,84000311,-1.0127,Low SES,-0.2675,0,Female,4,Native,-0.5445,-0.756,0.133,0,559.6645556,703.5278889,574.622
174,84000061,84000312,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,0,513.2913333,531.2367778,547.5624444
175,84000154,84000313,-1.6311,Low SES,-0.7825,0,Female,7,Native,-0.6546,-1.4182,0.7774,1,366.9663333,403.7273333,359.614
176,84000033,84000314,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,0,503.0093333,528.8026667,537.5387778
177,84000093,84000320,-0.0723,Mid SES,-0.1637,0,Male,4,Native,1.0069,-0.756,-0.508,0,345.1342222,349.9432222,368.9882222
178,84000077,84000321,-0.2261,Mid SES,NA,NA,Male,NA,Native,NA,NA,NA,-1,372.6275556,355.2462222,381.539
179,84000040,84000322,0.7768,Mid SES,-0.1511,0,Female,7,Native,-0.0789,0.4417,0.6566,1,459.6926667,601.9655556,536.2944444
180,84000072,84000325,1.1793,High SES,0.4149,0,Female,8,Native,0.39,0.4417,0.3729,0,416.3643333,482.7355556,435.668
181,84000081,84000330,0.3609,Mid SES,-0.9303,0,Male,6,Native,1.0853,1.1246,0.4252,1,481.5994444,441.2646667,467.387
182,84000115,84000334,-0.1999,Mid SES,-1.3282,0,Female,9,Native,1.5622,0.4417,0.6387,0,479.3544444,532.8745556,518.4314444
183,84000027,84000336,0.9934,High SES,-0.1785,0,Female,8,Native,0.0382,0.0877,1.0161,1,510.1226667,636.3522222,551.791
184,84000073,84000337,-0.7458,Low SES,-1.306,0,Male,4,2nd Gen,0.3909,-0.756,-0.1172,0,446.1413333,425.6058889,492.2261111
185,84000077,84000339,0.9678,High SES,NA,0,Female,NA,Native,NA,NA,1.2587,1,465.7245556,485.6321111,460.1341111
186,84000015,84000342,1.3879,High SES,-0.5876,0,Female,5,Native,-0.7622,-0.756,2.5026,0,571.1074444,657.4396667,579.5295556
187,84000129,84000343,-0.524,Low SES,0.8129,0,Male,8,2nd Gen,0.0129,1.1246,-2.249,0,552.4701111,564.7703333,565.0741111
188,84000010,84000346,0.6374,Mid SES,-0.9904,0,Male,8,Native,1.8724,0.1413,1.7065,0,455.8084444,482.9081111,552.2816667
189,84000053,84000347,0.4078,Mid SES,-1.8406,0,Male,7,Native,-0.8011,0.6942,0.133,1,530.5414444,541.8358889,544.7603333
190,84000145,84000350,-1.2124,Low SES,-0.9354,0,Female,8,2nd Gen,0.254,1.1246,-0.0423,0,488.6594444,505.503,474.8981111
191,84000144,84000352,1.7499,High SES,-0.0937,0,Female,7,Native,-0.2026,0.6342,-1.6297,0,561.662,635.8873333,609.067
192,84000073,84000354,0.3308,Mid SES,-0.1099,0,Male,7,NA,0.2561,-0.756,0.051,0,540.9965556,620.2385556,565.0038889
193,84000105,84000356,-0.2568,Mid SES,0.799,0,Male,4,Native,0.5606,0.1368,-0.5191,0,642.0978889,726.561,724.1313333
194,84000004,84000360,0.0204,Mid SES,-1.4422,1,Female,9,1st Gen,0.4341,-0.9117,2.5429,-1,351.5838889,405.413,393.4303333
